PCS.vBatAverage;CDH.OBT
33.03912;2015-05-31 10:00:04+00:00
33.03912;2015-05-31 10:00:12+00:00
33.03912;2015-05-31 10:00:20+00:00
33.03912;2015-05-31 10:00:28+00:00
33.02038;2015-05-31 10:00:36+00:00
33.02038;2015-05-31 10:00:44+00:00
33.03912;2015-05-31 10:00:52+00:00
33.02038;2015-05-31 10:01:00+00:00
33.02038;2015-05-31 10:01:08+00:00
33.03912;2015-05-31 10:01:16+00:00
33.03912;2015-05-31 10:01:24+00:00
33.02038;2015-05-31 10:01:32+00:00
33.02038;2015-05-31 10:01:40+00:00
33.02038;2015-05-31 10:01:48+00:00
33.02038;2015-05-31 10:01:56+00:00
33.02038;2015-05-31 10:02:04+00:00
33.02038;2015-05-31 10:02:12+00:00
33.02038;2015-05-31 10:02:20+00:00
33.02038;2015-05-31 10:02:28+00:00
33.03912;2015-05-31 10:02:36+00:00
33.02038;2015-05-31 10:02:44+00:00
33.03912;2015-05-31 10:02:52+00:00
33.02038;2015-05-31 10:03:00+00:00
33.02038;2015-05-31 10:03:08+00:00
33.02038;2015-05-31 10:03:16+00:00
33.02038;2015-05-31 10:03:24+00:00
33.02038;2015-05-31 10:03:32+00:00
33.02038;2015-05-31 10:03:40+00:00
33.02038;2015-05-31 10:03:48+00:00
33.02038;2015-05-31 10:03:56+00:00
33.02038;2015-05-31 10:04:04+00:00
33.02038;2015-05-31 10:04:12+00:00
33.03912;2015-05-31 10:04:20+00:00
33.02038;2015-05-31 10:04:28+00:00
33.03912;2015-05-31 10:04:36+00:00
33.03912;2015-05-31 10:04:44+00:00
33.02038;2015-05-31 10:04:52+00:00
33.02038;2015-05-31 10:05:00+00:00
33.02038;2015-05-31 10:05:08+00:00
33.02038;2015-05-31 10:05:16+00:00
33.02038;2015-05-31 10:05:24+00:00
33.03912;2015-05-31 10:05:32+00:00
33.03912;2015-05-31 10:05:40+00:00
33.03912;2015-05-31 10:05:48+00:00
33.03912;2015-05-31 10:05:56+00:00
33.03912;2015-05-31 10:06:04+00:00
33.03912;2015-05-31 10:06:12+00:00
33.03912;2015-05-31 10:06:20+00:00
33.03912;2015-05-31 10:06:28+00:00
33.03912;2015-05-31 10:06:36+00:00
33.03912;2015-05-31 10:06:44+00:00
33.03912;2015-05-31 10:06:52+00:00
33.03912;2015-05-31 10:07:00+00:00
33.05785;2015-05-31 10:07:08+00:00
33.03912;2015-05-31 10:07:16+00:00
33.03912;2015-05-31 10:07:24+00:00
33.03912;2015-05-31 10:07:32+00:00
33.03912;2015-05-31 10:07:40+00:00
33.02038;2015-05-31 10:07:48+00:00
33.02038;2015-05-31 10:07:56+00:00
33.00165;2015-05-31 10:08:04+00:00
33.00165;2015-05-31 10:08:12+00:00
33.02038;2015-05-31 10:08:20+00:00
33.02038;2015-05-31 10:08:28+00:00
33.02038;2015-05-31 10:08:36+00:00
33.02038;2015-05-31 10:08:44+00:00
33.02038;2015-05-31 10:08:52+00:00
33.02038;2015-05-31 10:09:00+00:00
33.02038;2015-05-31 10:09:08+00:00
33.02038;2015-05-31 10:09:16+00:00
33.02038;2015-05-31 10:09:24+00:00
33.00165;2015-05-31 10:09:32+00:00
33.02038;2015-05-31 10:09:40+00:00
33.02038;2015-05-31 10:09:48+00:00
33.02038;2015-05-31 10:09:56+00:00
33.02038;2015-05-31 10:10:04+00:00
33.02038;2015-05-31 10:10:12+00:00
33.02038;2015-05-31 10:10:20+00:00
33.02038;2015-05-31 10:10:28+00:00
33.02038;2015-05-31 10:10:36+00:00
33.02038;2015-05-31 10:10:44+00:00
33.02038;2015-05-31 10:10:52+00:00
33.02038;2015-05-31 10:11:00+00:00
33.02038;2015-05-31 10:11:08+00:00
33.02038;2015-05-31 10:11:16+00:00
33.02038;2015-05-31 10:11:24+00:00
33.02038;2015-05-31 10:11:32+00:00
33.02038;2015-05-31 10:11:40+00:00
33.02038;2015-05-31 10:11:48+00:00
33.03912;2015-05-31 10:11:56+00:00
33.02038;2015-05-31 10:12:04+00:00
33.02038;2015-05-31 10:12:12+00:00
33.02038;2015-05-31 10:12:20+00:00
33.03912;2015-05-31 10:12:28+00:00
33.03912;2015-05-31 10:12:36+00:00
33.03912;2015-05-31 10:12:44+00:00
33.02038;2015-05-31 10:12:52+00:00
33.02038;2015-05-31 10:13:00+00:00
33.03912;2015-05-31 10:13:08+00:00
33.02038;2015-05-31 10:13:16+00:00
33.02038;2015-05-31 10:13:24+00:00
33.02038;2015-05-31 10:13:32+00:00
33.03912;2015-05-31 10:13:40+00:00
33.03912;2015-05-31 10:13:48+00:00
33.03912;2015-05-31 10:13:56+00:00
33.02038;2015-05-31 10:14:04+00:00
33.02038;2015-05-31 10:14:12+00:00
33.02038;2015-05-31 10:14:20+00:00
33.02038;2015-05-31 10:14:28+00:00
33.02038;2015-05-31 10:14:36+00:00
33.02038;2015-05-31 10:14:44+00:00
33.02038;2015-05-31 10:14:52+00:00
33.00165;2015-05-31 10:15:00+00:00
33.00165;2015-05-31 10:15:08+00:00
33.00165;2015-05-31 10:15:16+00:00
33.02038;2015-05-31 10:15:24+00:00
33.02038;2015-05-31 10:15:32+00:00
33.02038;2015-05-31 10:15:40+00:00
33.00165;2015-05-31 10:15:48+00:00
33.02038;2015-05-31 10:15:56+00:00
33.00165;2015-05-31 10:16:04+00:00
33.02038;2015-05-31 10:16:12+00:00
33.02038;2015-05-31 10:16:20+00:00
33.03912;2015-05-31 10:16:28+00:00
33.02038;2015-05-31 10:16:36+00:00
33.02038;2015-05-31 10:16:44+00:00
33.02038;2015-05-31 10:16:52+00:00
33.02038;2015-05-31 10:17:00+00:00
33.03912;2015-05-31 10:17:08+00:00
33.03912;2015-05-31 10:17:16+00:00
33.03912;2015-05-31 10:17:24+00:00
33.02038;2015-05-31 10:17:32+00:00
33.02038;2015-05-31 10:17:40+00:00
33.02038;2015-05-31 10:17:48+00:00
33.02038;2015-05-31 10:17:56+00:00
33.03912;2015-05-31 10:18:04+00:00
33.02038;2015-05-31 10:18:12+00:00
33.03912;2015-05-31 10:18:20+00:00
33.03912;2015-05-31 10:18:28+00:00
33.03912;2015-05-31 10:18:36+00:00
33.03912;2015-05-31 10:18:44+00:00
33.03912;2015-05-31 10:18:52+00:00
33.02038;2015-05-31 10:19:00+00:00
33.02038;2015-05-31 10:19:08+00:00
33.03912;2015-05-31 10:19:16+00:00
33.03912;2015-05-31 10:19:24+00:00
33.03912;2015-05-31 10:19:32+00:00
33.02038;2015-05-31 10:19:40+00:00
33.02038;2015-05-31 10:19:48+00:00
33.02038;2015-05-31 10:19:56+00:00
33.02038;2015-05-31 10:20:04+00:00
33.03912;2015-05-31 10:20:12+00:00
33.03912;2015-05-31 10:20:20+00:00
33.03912;2015-05-31 10:20:28+00:00
33.03912;2015-05-31 10:20:36+00:00
33.03912;2015-05-31 10:20:44+00:00
33.02038;2015-05-31 10:20:52+00:00
33.02038;2015-05-31 10:21:00+00:00
33.02038;2015-05-31 10:21:08+00:00
33.02038;2015-05-31 10:21:16+00:00
33.02038;2015-05-31 10:21:24+00:00
33.02038;2015-05-31 10:21:32+00:00
33.02038;2015-05-31 10:21:40+00:00
33.02038;2015-05-31 10:21:48+00:00
33.00165;2015-05-31 10:21:56+00:00
33.02038;2015-05-31 10:22:04+00:00
33.02038;2015-05-31 10:22:12+00:00
33.02038;2015-05-31 10:22:20+00:00
33.02038;2015-05-31 10:22:28+00:00
33.02038;2015-05-31 10:22:36+00:00
33.02038;2015-05-31 10:22:44+00:00
33.02038;2015-05-31 10:22:52+00:00
33.02038;2015-05-31 10:23:00+00:00
33.02038;2015-05-31 10:23:08+00:00
33.02038;2015-05-31 10:23:16+00:00
33.02038;2015-05-31 10:23:24+00:00
33.03912;2015-05-31 10:23:32+00:00
33.03912;2015-05-31 10:23:40+00:00
33.03912;2015-05-31 10:23:48+00:00
33.02038;2015-05-31 10:23:56+00:00
33.02038;2015-05-31 10:24:04+00:00
33.02038;2015-05-31 10:24:12+00:00
33.03912;2015-05-31 10:24:20+00:00
33.03912;2015-05-31 10:24:28+00:00
33.02038;2015-05-31 10:24:36+00:00
33.02038;2015-05-31 10:24:44+00:00
33.03912;2015-05-31 10:24:52+00:00
33.03912;2015-05-31 10:25:00+00:00
33.03912;2015-05-31 10:25:08+00:00
33.03912;2015-05-31 10:25:16+00:00
33.03912;2015-05-31 10:25:24+00:00
33.03912;2015-05-31 10:25:32+00:00
33.03912;2015-05-31 10:25:40+00:00
33.03912;2015-05-31 10:25:48+00:00
33.03912;2015-05-31 10:25:56+00:00
33.03912;2015-05-31 10:26:04+00:00
33.03912;2015-05-31 10:26:12+00:00
33.03912;2015-05-31 10:26:20+00:00
33.03912;2015-05-31 10:26:28+00:00
33.03912;2015-05-31 10:26:36+00:00
33.03912;2015-05-31 10:26:44+00:00
33.03912;2015-05-31 10:26:52+00:00
33.02038;2015-05-31 10:27:00+00:00
33.02038;2015-05-31 10:27:08+00:00
33.02038;2015-05-31 10:27:16+00:00
33.02038;2015-05-31 10:27:24+00:00
33.02038;2015-05-31 10:27:32+00:00
33.02038;2015-05-31 10:27:40+00:00
33.02038;2015-05-31 10:27:48+00:00
33.02038;2015-05-31 10:27:56+00:00
33.02038;2015-05-31 10:28:04+00:00
33.02038;2015-05-31 10:28:12+00:00
33.03912;2015-05-31 10:28:20+00:00
33.02038;2015-05-31 10:28:28+00:00
33.02038;2015-05-31 10:28:36+00:00
33.02038;2015-05-31 10:28:44+00:00
33.02038;2015-05-31 10:28:52+00:00
33.02038;2015-05-31 10:29:00+00:00
33.03912;2015-05-31 10:29:08+00:00
33.02038;2015-05-31 10:29:16+00:00
33.02038;2015-05-31 10:29:24+00:00
33.02038;2015-05-31 10:29:32+00:00
33.02038;2015-05-31 10:29:40+00:00
33.02038;2015-05-31 10:29:48+00:00
33.02038;2015-05-31 10:29:56+00:00
33.02038;2015-05-31 10:30:04+00:00
33.02038;2015-05-31 10:30:12+00:00
33.02038;2015-05-31 10:30:20+00:00
33.02038;2015-05-31 10:30:28+00:00
33.02038;2015-05-31 10:30:36+00:00
33.02038;2015-05-31 10:30:44+00:00
33.03912;2015-05-31 10:30:52+00:00
